,Step,Action,Reward,State,Gradient,Balance
0,0,[2 0 2],0.0,"[10.0, 10.0, 10.0, 10.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",100.0
1,1,[1 4 1],0.0,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",97.5
2,2,[1 1 2],0.0,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",92.5
3,3,[1 2 1],0.0,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",90.0
4,4,[1 4 3],0.25,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",82.5
5,5,[1 1 0],0.75,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",82.5
6,6,[1 0 3],0.75,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",75.0
7,7,[1 3 3],0.75,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",67.5
8,8,[1 2 3],1.0,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",60.0
9,9,[1 1 3],1.0,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",52.5
10,10,[1 1 3],6.359358506575837,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",45.0
11,11,[1 1 0],7.202109941494004,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",45.0
12,12,[1 3 3],7.952109941494004,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",37.5
13,13,[1 1 0],7.952109941494004,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",37.5
14,14,[1 3 2],8.380681370065432,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",32.5
15,15,[1 1 1],8.380681370065432,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",30.0
16,16,[1 4 1],9.05240017422982,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",27.5
17,17,[1 0 3],9.43678383354352,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",20.0
18,18,[1 2 0],10.182044706487252,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",20.0
19,19,[1 4 0],10.469649497220884,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",20.0
20,20,[1 4 2],10.469649497220884,"[33.905781029641844, 17.419973668965817, 10.673158953752727, 23.80995860747323, 16.19248385474709]","[0.24980432581107856, 0.37566483316290605, 0.0, 0.27231207638664706, 0.4467283638635173]",15.0
